question_id,question_bank_id,expert_difficulty,expert_score_band,section,parent_topic,child_topic,question_text,correct_answer,option_a,option_b,option_c,option_d
1371,84b5125b,Easy,2,Reading & Writing,Craft and Structure,Words in Context,"Artist Marilyn Dingle’s intricate, coiled baskets are ______ blank sweetgrass and palmetto palm. Following a Gullah technique that originated in West Africa, Dingle skillfully winds a thin palm frond around a bunch of sweetgrass with the help of a “sewing bone” to create the basket’s signature look that no factory can reproduce. Which choice completes the text with the most logical and precise word or phrase?",,indicated by,handmade from,represented by,collected with
11898,fa014d2d,Easy,3,Reading & Writing,Craft and Structure,Words in Context,"The invention in 1958 of the integrated circuit (or microchip) radically altered the semiconductor industry. In fact, some historians argue that it fundamentally ______ blank the industry by enabling it to take advantage of mass production methods for the first time. Which choice completes the text with the most logical and precise word or phrase?",,overwhelmed,bypassed,obstructed,transformed
1807,de55ec71,Easy,2,Reading & Writing,Standard English Conventions,Boundaries,"Generations of mystery and horror ______ blank have been influenced by the dark, gothic stories of celebrated American author Edgar Allan Poe (1809–1849). Which choice completes the text so that it conforms to the conventions of Standard English?",,writers,"writers,",writers—,writers;
12357,5fe53347,Easy,1,Reading & Writing,Craft and Structure,Words in Context,Botanist Al Kovaleski has pointed out that maple trees already thrive in a wide variety of climates and thus may ______ blank changes in climate better than some other tree species do. The alterations maples may undergo in response to a changing climate are likely to be relatively small and easily achieved. Which choice completes the text with the most logical and precise word or phrase?,,relocate from,refer to,originate from,adapt to
1808,e38b3e4f,Easy,2,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense",The radiation that ______ blank during the decay of radioactive atomic nuclei is known as gamma radiation. Which choice completes the text so that it conforms to the conventions of Standard English?,,occurs,have occurred,occur,are occurring
12060,4b0c7b62,Easy,2,Reading & Writing,Standard English Conventions,Boundaries,The algaita is a double reed wind instrument from West Africa. The reed of a wind instrument is the mouthpiece ______ blank A double reed contains two pieces of cane that vibrate and produce sound as air passes between them. Which choice completes the text so that it conforms to the conventions of Standard English?,,where sound is made?,where is sound made.,where sound is made.,where is sound made?
11980,e0bd4f8a,Easy,3,Reading & Writing,Expression of Ideas,Transitions,"In 1942, the 1,500-mile Alaska Highway was constructed in under nine months, largely due to the skilled work of nearly 4,000 African American soldiers from US Army engineering regiments. The soldiers’ contribution was overlooked for decades. ______ blank in 2017, lawmakers declared October 25 a day of recognition—“Alaska Highway Day”—for the troops who helped build this critical roadway. Which choice completes the text with the most logical transition?",,"Lastly,","Then,","Similarly,","For example,"
1619,660d50dc,Easy,3,Reading & Writing,Expression of Ideas,Transitions,"Samuel Coleridge-Taylor was a prominent classical music composer from England who toured the US three times in the early 1900s. The child of a West African father and an English mother, Coleridge-Taylor emphasized his mixed-race ancestry. For example, he referred to himself as Anglo-African. ______ blank he incorporated the sounds of traditional African music into his classical music compositions. Which choice completes the text with the most logical transition?",,"In addition,","Actually,","However,","Regardless,"
1813,3580533b,Easy,1,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","In recent years, economists around the world have created new tools that quantify the overall well-being of a country’s citizens. Economists in India, for example, use an Ease of Living Index. This tool ______ blank economic potential, sustainability, and citizens’ quality of life. Which choice completes the text so that it conforms to the conventions of Standard English?",,measures,had measured,would have measured,will have been measuring
12062,e62241b7,Easy,2,Reading & Writing,Standard English Conventions,"Form, Structure, and Sense","What is the correct pronunciation of Kiribati? In the Gilbertese language spoken by residents of the island nation, the letter combination -ti makes the -s sound; as a result, the country’s name ______ blank pronounced “Kiribas.” Which choice completes the text so that it conforms to the conventions of Standard English?",,are,have been,are being,is
12065,a7c85001,Easy,3,Reading & Writing,Standard English Conventions,Boundaries,"Researchers Amit Kumar and Nicholas Epley investigated how ______ blank In a series of experiments conducted in 2022 , they found that people performing small acts of kindness underestimated the positive effect their actions had on others. Which choice completes the text so that it conforms to the conventions of Standard English?",,do people perceive acts of kindness .,do people perceive acts of kindness ?,people perceive acts of kindness ?,people perceive acts of kindness .
